"","lake_name","core_number","sample_ID","sample_range","depth_top","depth_bottom","depth_plot","bd","d13C","percent.C","C.mar","d15N","percent.N","N.mar","C:N","chlide_a_nmol_gDM","chl_c1_nmol_gDM","chl_c2_nmol_gDM","perid_nmol_gDM","fuco_nmol_gDM","sed_a_nmol_gDM","sed_b_nmol_gDM","sed_c_nmol_gDM","oscil_nmol_gDM","aphan_nmol_gDM","viola_nmol_gDM","diadino_nmol_gDM","myxo_nmol_gDM","allo_nmol_gDM","diato_nmol_gDM","lutein_nmol_gDM","zea_nmol_gDM","cantha_nmol_gDM","chl_b_nmol_gDM","okenone_nmol_gDM","chl_a_nmol_gDM","chl_ap_nmol_gDM","echine_nmol_gDM","isoren_nmol_gDM","phaeo_b_nmol_gDM","pheo_a_nmol_gDM","a_car_nmol_gDM","b_car_nmol_gDM","car_x_nmol_gDM","car_y_nmol_gDM","car_z_nmol_gDM","chlide_a_nmol_gTC","chl_c1_nmol_gTC","chl_c2_nmol_gTC","perid_nmol_gTC","fuco_nmol_gTC","sed_a_nmol_gTC","sed_b_nmol_gTC","sed_c_nmol_gTC","oscil_nmol_gTC","aphan_nmol_gTC","viola_nmol_gTC","diadino_nmol_gTC","myxo_nmol_gTC","allo_nmol_gTC","diato_nmol_gTC","lutein_nmol_gTC","zea_nmol_gTC","cantha_nmol_gTC","chl_b_nmol_gTC","okenone_nmol_gTC","chl_a_nmol_gTC","chl_ap_nmol_gTC","echine_nmol_gTC","isoren_nmol_gTC","phaeo_b_nmol_gTC","pheo_a_nmol_gTC","a_car_nmol_gTC","b_car_nmol_gTC","car_x_nmol_gTC","car_y_nmol_gTC","car_z_nmol_gTC","chla_pheoa","chls","chlb_pheob","all_chl","PI","AD_ratio","master_chl","perc_chlb","greens","cyanos","perc_diatox","fuco_flux","allo_flux","diato_flux","lutein_flux","cantha_flux","chl_b_flux","chl_a_flux","chl_ap_flux","echine_flux","phaeo_b_flux","pheo_a_flux","b_car_flux","year_CE_top","year_CE_plot","year_CE_bottom","duration","year_plot_extrap","weight","s"
"1","Turkey Creek Lake",2,"TRK2_002","0.5-1",0.5,1,0.75,0.086614231,-27.2037534451108,7.80834684666419,0.0019190777414631,0.15399955697329,0.739094261542252,0.000181649121641515,10.5647510107448,0,0,0,0,5.0880868461348,0,0,0,0,0,0,0,0,63.1190717964252,9.03814025142542,22.8805967090602,0,0,54.5705669564973,0,96.586591395059,17.1430359766995,7.50458015165876,0,44.1351610574862,11.1729152935498,0,52.9307949097194,0,0,0,0,0,0,0,65.1621520669063,0,0,0,0,0,0,0,0,808.353842828977,115.749728193575,293.027412311161,0,0,698.874781411771,0,1236.96594543981,219.547572787743,96.1097182160242,0,565.230540141045,143.089382592206,0,677.87453540607,0,0,0,1380.05532803201,1599.60290081976,1264.10532155282,1599.60290081976,8.64470810503854,6.98363491167009,2.08633316308231,3.95019204011739,858.257952452206,96.1097182160242,0.0838732519214552,0.125051235617434,1.55129386699925,0.222132726956694,0.56234238460488,0,1.34119503707722,2.37383381284139,0.421328860129208,0.184442020966663,1.08472134837984,0.2745996491724,1.30089393240243,2023.02921354609,2022.35947317202,2021.26713287866,1.76208066742902,2022.35947317202,0.802902430483707,0.024577260451525
"2","Turkey Creek Lake",2,"TRK2_004","1.5-2",1.5,2,1.75,0.107633855,-28.5004692666529,8.08192219219441,0.0019908824352603,0.119537647641286,0.864533811148274,0.000212967303863193,9.34830088537544,0,0,0,0,7.81295960413601,0,0,0,0,0,0,0,0,40.7914914314761,13.449770474699,15.9960199136817,0,0,65.5978815232269,0,124.133362241333,61.281457815928,9.3966779102699,0,151.900432253592,32.6105280778532,0,59.0000818365648,0,0,0,0,0,0,0,96.672046801958,0,0,0,0,0,0,0,0,504.725119364214,166.417965365825,197.923458470447,0,0,811.661878984456,0,1535.93859591004,758.253499088548,116.267859140556,0,1879.50871885773,403.499653948026,0,730.025363193271,0,0,0,1939.43824985806,2697.69174894661,2691.17059784218,2697.69174894661,3.80654253574125,3.03287639801815,0.771916583898857,4.65801816796557,2077.43217732817,116.267859140556,0.0858073029022731,0.19246267995868,1.00484837477687,0.331318604158579,0.394042336994785,0,1.61592337824053,3.05787317223567,1.50959357281005,0.231475638548251,3.74188089529245,0.803320373678736,1.45339467287601,2019.08245229192,2017.99011199856,2016.89777170519,2.18468058673238,2017.99011199856,0.995462571800029,0.0246337738463149
"3","Turkey Creek Lake",2,"TRK2_006","2.5-3",2.5,3,2.75,0.114678376,-28.5691870781045,8.88401517170349,0.00226242402989117,-0.287459272949672,0.852104081263501,0.000216998813279743,10.4259742055575,0,0,0,0,11.5401635408839,0,0,0,0,0,0,0,0,30.8312232644461,6.70644331602828,6.82534493428873,0,0,111.687253389945,0,182.633119643458,14.4005974119272,8.2348502298516,0,211.045996397004,117.361021576971,0,34.9099291377245,0,0,0,0,0,0,0,129.898062056901,0,0,0,0,0,0,0,0,347.041542236969,75.4888773421842,76.8272543706156,0,0,1257.17089887104,0,2055.74974956328,162.095596794956,92.6928879644472,0,2375.5699682865,1321.03580766924,0,392.952155787805,0,0,0,3376.78555723251,3538.88115402747,3632.74086715754,3538.88115402747,1.55616504687358,4.59725398569463,0.858558444514377,1.7982631163328,2452.39722265711,92.6928879644472,0.0223552476349881,0.293884497033827,0.785155124527412,0.170787850088465,0.173815826438643,0,2.84425365128574,4.65097763285472,0.366728973328459,0.209710617130776,5.37454658093918,2.98874315561757,0.889024399851869,2014.67964285629,2013.55385430075,2012.42806574521,2.25157711107613,2013.55385430075,1.02594436697509,0.025466233298399
"4","Turkey Creek Lake",2,"TRK2_008","3.5-4",3.5,4,3.75,0.116661077,-28.5016078280707,8.94263102637061,0.00196270892775389,-0.150396963923353,0.784487601174197,0.000172177607909395,11.3993274246598,0,0,0,0,5.51244605676156,0,0,0,0,0,0,0,0,32.1223251200668,11.4074241436901,8.72737697619234,0,0,21.6642663956892,0,81.7402613371268,6.23459097753048,4.6772554888886,0,195.066258400841,166.649119863367,0,47.2810881838488,0,0,0,0,0,0,0,61.6423292038563,0,0,0,0,0,0,0,0,359.204411155312,127.562281279985,97.5929449672751,0,0,242.258305545697,0,914.051592826382,69.7176363325906,52.3029014067114,0,2181.30724420607,1863.53567951021,0,528.715632395246,0,0,0,2777.5872723366,2847.30490866919,2423.56554975176,2847.30490866919,0.490493207549758,2.81591397982996,0.281028771237321,1.17052078379276,2278.90018917334,52.3029014067114,0.0459255709264089,0.120985949855953,0.705013704663109,0.250367628312879,0.191546544373065,0,0.475482539117068,1.794017221668,0.136835427251874,0.102655371538384,4.28127120237747,3.6575781153626,1.03771489194519,2010.17648863414,2009.0507000786,2007.5187920394,2.65769659473631,2009.0507000786,1.21099510076091,0.0219477793723807
"5","Turkey Creek Lake",2,"TRK2_010","4.5-5",4.5,5,4.75,0.131881526,-27.5475402353207,14.6772290795372,0.0031588961591226,0.787839896577688,0.588255181849422,0.000126606801900969,24.9504458819951,0,0,0,0,2.66548645215551,0,0,0,0,0,0,0,0,6.51169559314503,1.69879875368359,1.5918329184742,0,0,5.40266565871533,0,11.4619667700821,0.530200545844125,3.59551586702696,0,43.6504693678857,33.3960669885763,0,6.77354668494801,0,0,0,0,0,0,0,18.1606925783539,0,0,0,0,0,0,0,0,44.3659736988336,11.5743833149816,10.8455956492055,0,0,36.8098476179517,0,78.0935332409728,3.6124021977917,24.4972388694252,0,297.402657758763,227.536592960429,0,46.150037232788,0,0,0,305.630126201402,309.242528399194,334.212505376715,309.242528399194,0.343213072784974,3.83311771275167,0.217392908005855,1.30705419242383,308.248253407969,24.4972388694252,0.0378705576535817,0.0573677420327683,0.140147503912979,0.0365622749979082,0.0342601104396718,0,0.116278486258235,0.246689362207222,0.0114112034278102,0.077384233773736,0.939464113307009,0.718764469562541,0.145783175358019,2004.454975961,2002.9230679218,2001.39115988261,3.06381607839648,2002.9230679218,1.39604583454673,0.0215224286682742
"6","Turkey Creek Lake",2,"TRK2_012","5.5-6",5.5,6,5.75,0.147310804,-27.5537043207783,10.9393626027162,0.00466099070555769,0.899608376138015,0.618920461681857,0.000263706636679392,17.6749086190971,0,0,0,0,5.89870086418975,0,0,0,0,0,0,0,0,19.0780776572766,8.70110239099941,3.15660216221278,0,0,21.7557881601617,0,34.605802172474,1.69364082315016,1.61543978574619,0,120.271849648391,91.3119427416639,0,35.0333953385396,0,0,0,0,0,0,0,53.9217967116761,0,0,0,0,0,0,0,0,174.398439380184,79.5393909773039,28.855448684268,0,0,198.876195535925,0,316.342034076844,15.4820795749986,14.7672203986097,0,1099.4411102026,834.709900913162,0,320.250791667157,0,0,0,1151.05193499001,1166.534014565,1298.31730573853,1166.534014565,0.378984403720107,2.19260466087738,0.264264200311775,1.31715355119165,1128.29655888687,14.7672203986097,0.0691014788815715,0.251328993300094,0.812869505014806,0.370732362070932,0.13449497812207,0,0.926960098949619,1.47446728060938,0.072161829001773,0.0688298770248416,5.12448479596235,3.89057508999323,1.49268596340811,1998.99490432479,1998.13055680618,1997.26620928756,1.72869503722904,1998.13055680618,0.787690071522923,0.0426075163136139
"7","Turkey Creek Lake",2,"TRK2_014","6.5-7",6.5,7,6.75,0.192463167,-26.9533951656771,8.62974130601966,0.00480393391077688,1.31898743606708,0.543399919843123,0.000302495429408399,15.8811166187122,0,0,0,0,1.27992120126343,0,0,0,0,0,0,0,0,16.7169237591994,3.49443340366416,5.8013742814133,0,0,3.19156538067913,0,34.3338014623784,1.77841546775195,0.968823094228669,0,73.1365000771397,32.4606019730178,0,17.4347165638287,0,0,0,0,0,0,0,14.8315129721284,0,0,0,0,0,0,0,0,193.712918688983,40.4929102709791,67.2253556125322,0,0,36.9833262377501,0,397.854353275096,20.607981220844,11.2265601003922,0,847.493539883095,376.148030652726,0,202.030581747186,0,0,0,774.002383927822,794.610365148666,884.476866120845,794.610365148666,1.05770686233477,4.78387247033254,0.349477867119929,2.25308514419828,914.718895495627,11.2265601003922,0.052316260404122,0.0712496081149349,0.930584059045568,0.194525264796802,0.322946165491078,0,0.177665455046852,1.91126601924844,0.0989993798194658,0.0539316527676488,4.07130295540873,1.80699027992457,0.970541562669286,1995.53751425034,1994.67316673172,1993.80881921311,1.72869503722904,1994.67316673172,0.787690071522923,0.0556671832958179
"8","Turkey Creek Lake",2,"TRK2_016","7.5-8",7.5,8,7.75,0.141255647,-26.8134131225875,8.7006618707405,0.00348503681150622,1.3657101200435,0.557577516932466,0.000223336822031046,15.6043986827294,0,0,0,0,3.10448675983283,0,0,0,0,0,0,0,0,19.089594960602,5.30320629462138,5.10896951335343,0,0,2.2366765593049,0,23.0295820050444,1.408772462729,0.862378289823791,0,103.914262417345,45.5930967643877,0,21.9053206890148,0,0,0,0,0,0,0,35.6810413501175,0,0,0,0,0,0,0,0,219.403940116308,60.9517571583326,58.7193203144051,0,0,25.706970257362,0,264.687702466529,16.1915551214164,9.91164008710518,0,1194.3259485442,524.0187176761,0,251.766141638952,0,0,0,788.706420142629,804.897975264045,1220.03291880156,804.897975264045,0.505111160227935,3.5996327316105,0.167419203560513,2.27916657985187,1253.0452688586,9.91164008710518,0.0772806656592324,0.124349742578035,0.764630807894841,0.212419117422777,0.204638992842327,0,0.089589737659202,0.922446386648859,0.056428165633668,0.0345424305659622,4.16226989561362,1.82622452101949,0.877414271502635,1992.06283278481,1991.18119387513,1990.29955496544,1.7632778193647,1991.18119387513,0.803447919811515,0.0400548471286543
"9","Turkey Creek Lake",2,"TRK2_018","8.5-9",8.5,9,8.75,0.141748639,-27.043924947927,7.4499081260414,0.00299446385006387,0.407740837079546,0.658053142243733,0.000264502100231517,11.3211344917217,0,0,0,0,11.7412913568333,0,0,0,0,0,0,0,0,26.6480090418409,7.52697519235721,4.44301948965404,0,0,24.0010947882815,0,50.5030399184571,2.93667410565294,3.65253966975086,0,99.5471269290648,79.0701244827062,0,31.3725196195774,0,0,0,0,0,0,0,157.603169840326,0,0,0,0,0,0,0,0,357.695807666298,101.034470023146,59.6385809661641,0,0,322.166319130633,0,677.901513200171,39.4189304883867,49.0279827342203,0,1336.21952438708,1061.35704152262,0,421.112839095475,0,0,0,1739.25855472279,1778.67748521118,1658.38584351771,1778.67748521118,0.63871203250101,3.54033437879521,0.410369175408374,1.2589726850732,1395.85810535324,49.0279827342203,0.0580905407932573,0.471936994742333,1.07110716537613,0.302544068094672,0.178585574772285,0,0.964715396344818,2.0299515751815,0.118038562355654,0.146812521939178,4.00126106152664,3.17819529285021,1.26100717346916,1988.53627714608,1987.6546382364,1986.77299932672,1.7632778193647,1987.6546382364,0.803447919811515,0.0401946413217717
"10","Turkey Creek Lake",2,"TRK2_020","9.5-10",9.5,10,9.75,0.201352746,-27.72525595767,6.2890295140571,0.00208097980270126,0.863177206946473,0.601307926719226,0.000198967050148195,10.4589166957609,0,0,0,0,9.78134638293739,0,0,0,0,0,0,0,0,22.642300856082,12.9052082324242,4.74142351662382,0,0,14.5224056319039,0,78.4313701571844,3.27369606546994,3.89294616703604,0,42.3169651459121,98.3195414456225,0,33.9400357546711,0,0,0,0,0,0,0,155.530298610848,0,0,0,0,0,0,0,0,360.028535491405,205.201902830616,75.3919743264981,0,0,230.916480824963,0,1247.11404171147,52.0540738146108,61.9005867015667,0,672.869558829803,1563.34997674698,0,539.670479822189,0,0,0,2810.46401845845,2862.51809227306,903.786039654765,2862.51809227306,0.797719039409499,1.75450875710734,0.645915119796157,0.430402385158766,748.261533156301,61.9005867015667,0.0730135313894431,0.323655410117271,0.749212110753725,0.427021015266378,0.156889175859214,0,0.480532532707599,2.59521913246669,0.108323476256525,0.128813870701318,1.40022796177732,3.25329972616395,1.12304336862407,1983.73041006014,1982.20911542686,1980.68782079357,3.04258926657212,1982.20911542686,1.38637371276466,0.0330890449480305
"11","Turkey Creek Lake",2,"TRK2_022","10.5-11",10.5,11,10.75,0.250828653,-26.8051248701174,4.02788705586627,NA,1.7678249995505,0.470725937514325,NA,8.55675613953967,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77841667697198,2.15383463713872,1.07461637678488,0,0,4.57282519934927,0,17.4676874152837,4.33151273621598,2.93738339075052,0,7.88695551274285,23.3564212642599,0,6.32360591560421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.287158576103,53.4730643452836,26.679406892003,0,0,113.529131674369,0,433.668749222835,107.538088236797,72.9261607887559,0,195.808755393381,579.867829964182,0,156.995611542643,0,0,0,1013.53657918702,1121.07466742381,309.33788706775,1121.07466742381,0.747875165362462,3.1471388564801,0.61955252472234,0.33767825231049,222.488162285384,72.9261607887559,0.0527588894602853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976.12393689371,NA,NA
"12","Turkey Creek Lake",2,"TRK2_024","11.5-12",11.5,12,11.75,0.285000938,-26.9101677409752,4.00097372469113,NA,1.951692154116,0.485346148747037,NA,8.24354686860087,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1153233420748,1.89873915787117,2.33049341291023,0,0,7.59418239085212,0,35.3264157396081,1.0365541393963,0.795015880563146,0,8.56189926403275,10.5447371650661,0,8.7959764784133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.82762320636,47.4569264515166,58.2481559058513,0,0,189.808354500963,0,882.945457042092,25.9075467804109,19.8705599003783,0,213.995388452438,263.554271801176,0,219.845894616375,0,0,0,1146.49972884327,1172.40727562368,403.803742953401,1172.40727562368,3.35014663586323,4.80072436716094,2.13077456545489,0.811959476088003,272.243544358289,19.8705599003783,0.0413928806589401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973.94479378573,NA,NA
"13","Turkey Creek Lake",2,"TRK2_026","12.5-13",12.5,13,12.75,0.277922275,-27.045732015625,4.21607777942649,NA,2.10663273859347,0.506061507469628,NA,8.33115682025969,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31904618884747,1.59929338158648,3.62971404045804,0,0,32.754225666131,0,42.4531933643128,4.91328136353938,2.97726101470014,0,9.68763379312971,60.1674673002483,0,17.1440368933405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.035917181659,37.9332039221542,86.0921982552179,0,0,776.888553289131,0,1006.93572522487,116.53678182872,70.6168427259217,0,229.778346130216,1427.09576170183,0,406.634739449058,0,0,0,2434.03148692671,2550.56826875543,1006.66689941935,2550.56826875543,0.705583852357661,5.82697727392774,1.00587195495074,0.161011161476789,315.870544385434,70.6168427259217,0.0155845165216207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971.76565067775,NA,NA
"14","Turkey Creek Lake",2,"TRK2_028","13.5-14",13.5,14,13.75,0.314026529,-26.6459529266232,4.13554491593964,NA,2.10901919641192,0.462420912198077,NA,8.94324803841957,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53294856049089,4.01109937787085,2.83869717129565,0,0,1.9333594719122,0,21.5681893042959,1.46253789348211,1.61709935650437,0,17.6306665247948,47.0327313292716,0,11.2487224376246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4288523593066,96.9908309400983,68.6414300653453,0,0,46.7498119645721,0,521.531980493442,35.3650588546396,39.1024493597345,0,426.320276605894,1137.28014772596,0,272.000973662954,0,0,0,1658.8121282194,1694.17718707404,473.070088570466,1694.17718707404,0.458578285690003,0.880793076327675,0.355405916158689,0.374859507974654,494.961706671239,39.1024493597345,0.0584700517256346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969.58650756977,NA,NA
"15","Turkey Creek Lake",2,"TRK2_030","14.5-15",14.5,15,14.75,0.323888823,-26.4634227310717,3.95999196112107,NA,2.06984214753985,0.46283494221801,NA,8.55594856806595,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21501461810069,1.00542464686011,2.15886251040596,0,0,4.94977479640036,0,17.0979467773679,1.72859317823483,0.90956616861216,0,9.1589534227695,17.0205593166313,0,6.78376601849553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.702861737425,25.3895628256648,54.5168407310299,0,0,124.994566781875,0,431.767209257857,43.651431497994,22.9688892690243,0,231.287172112759,429.812976484246,0,171.307570447064,0,0,0,861.580185742102,905.231617240096,356.281738894634,905.231617240096,1.00454670491709,9.16529612326367,0.790011390914061,0.538111189672833,285.804012843789,22.9688892690243,0.0294686011189963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967.4073644618,NA,NA
"16","Turkey Creek Lake",2,"TRK2_032","15.5-16",15.5,16,15.75,0.357711302,-25.7313674610773,3.94731829685263,NA,2.77550824976438,0.452187680300218,NA,8.72938045156806,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42710220788279,2.57754064977674,1.64442668310064,0,0,4.30273176600508,0,11.2577713023788,2.04378593334093,0.813219734439688,0,10.7849412735452,18.4004896729552,0,5.65765809536416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.8210250644182,65.2985256302214,41.6593383009376,0,0,109.003922218176,0,285.200494506742,51.7765677769266,20.601828210512,0,273.22198167157,466.151657636192,0,143.329158428274,0,0,0,751.352152142934,803.128719919861,382.225903889746,803.128719919861,0.611819114733959,1.32960161391815,0.4982674758786,0.586122514413122,314.881319972507,20.601828210512,0.0869080170250172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965.22822135382,NA,NA
